date,region_code,hospitalized,new_positives,deceased,swabs
2020-02-24,13,0,0,0,5
2020-02-24,17,0,0,0,0
2020-02-24,18,0,0,0,1
2020-02-24,15,0,0,0,10
2020-02-24,08,10,18,0,148
2020-02-24,06,0,0,0,58
2020-02-24,12,1,2,0,124
2020-02-24,07,0,0,0,1
2020-02-24,03,76,166,6,1463
2020-02-24,11,0,0,0,16
2020-02-24,14,0,0,0,0
2020-02-24,05,0,0,0,1
2020-02-24,05,0,0,0,3
2020-02-24,01,2,3,0,141
2020-02-24,16,0,0,0,0
2020-02-24,20,0,0,0,1
2020-02-24,19,0,0,0,5
2020-02-24,09,0,0,0,140
2020-02-24,10,0,0,0,0
2020-02-24,02,0,0,0,7
2020-02-24,05,12,32,1,2200
2020-02-25,13,0,0,0,5
2020-02-25,17,0,0,0,0
2020-02-25,18,0,0,0,2
2020-02-25,15,0,0,0,10
2020-02-25,08,15,8,0,391
2020-02-25,06,0,0,0,89
2020-02-25,12,1,0,0,124
2020-02-25,07,1,1,0,39
2020-02-25,03,79,68,9,3700
2020-02-25,11,0,0,0,21
2020-02-25,14,0,0,0,0
2020-02-25,05,1,1,0,1
2020-02-25,05,0,0,0,3
2020-02-25,01,2,0,0,141
2020-02-25,16,0,0,0,0
2020-02-25,20,0,0,0,1
2020-02-25,19,1,3,0,5
2020-02-25,09,2,2,0,296
2020-02-25,10,0,0,0,8
2020-02-25,02,0,0,0,7
2020-02-25,05,12,10,1,3780
2020-02-26,13,0,0,0,13
2020-02-26,17,0,0,0,0
2020-02-26,18,0,0,0,3
2020-02-26,15,0,0,0,10
2020-02-26,08,20,21,1,577
2020-02-26,06,0,0,0,114
2020-02-26,12,0,0,0,124
2020-02-26,07,6,10,0,66
2020-02-26,03,79,18,9,3208
2020-02-26,11,1,1,0,28
2020-02-26,14,0,0,0,0
2020-02-26,05,1,0,0,1
2020-02-26,05,0,0,0,3
2020-02-26,01,2,0,0,156
2020-02-26,16,0,0,0,0
2020-02-26,20,0,0,0,1
2020-02-26,19,1,0,0,5
2020-02-26,09,2,0,0,363
2020-02-26,10,0,0,0,8
2020-02-26,02,0,0,0,7
2020-02-26,05,16,28,2,4900
2020-02-27,13,1,1,0,33
2020-02-27,17,0,0,0,0
2020-02-27,18,0,0,0,14
2020-02-27,15,2,3,0,10
2020-02-27,08,36,50,1,1033
2020-02-27,06,0,0,0,141
2020-02-27,12,0,0,0,552
2020-02-27,07,9,8,0,78
2020-02-27,03,172,145,14,3320
2020-02-27,11,2,2,0,46
2020-02-27,14,0,0,0,0
2020-02-27,05,1,0,0,2
2020-02-27,05,0,0,0,32
2020-02-27,01,2,-1,0,156
2020-02-27,16,1,1,0,0
2020-02-27,20,0,0,0,1
2020-02-27,19,1,1,0,5
2020-02-27,09,2,0,0,410
2020-02-27,10,0,0,0,8
2020-02-27,02,0,0,0,9
2020-02-27,05,19,40,2,6164
2020-02-28,13,1,0,0,33
2020-02-28,17,0,0,0,0
2020-02-28,18,0,1,0,21
2020-02-28,15,2,1,0,213
2020-02-28,08,56,48,2,1277
2020-02-28,06,0,0,0,169
2020-02-28,12,0,0,0,611
2020-02-28,07,9,0,0,112
2020-02-28,03,235,128,17,4835
2020-02-28,11,3,3,0,47
2020-02-28,14,0,0,0,0
2020-02-28,05,1,0,0,2
2020-02-28,05,0,0,0,32
2020-02-28,01,7,9,0,227
2020-02-28,16,1,2,0,242
2020-02-28,20,0,0,0,1
2020-02-28,19,1,0,0,5
2020-02-28,09,5,6,0,437
2020-02-28,10,0,0,0,8
2020-02-28,02,0,0,0,9
2020-02-28,05,24,40,2,7414
2020-02-29,13,2,1,0,43
2020-02-29,17,0,0,0,32
2020-02-29,18,0,0,0,27
2020-02-29,15,3,9,0,373
2020-02-29,08,86,72,4,1550
2020-02-29,06,0,0,0,189
2020-02-29,12,3,3,0,679
2020-02-29,07,4,23,0,121
2020-02-29,03,256,84,23,5723
2020-02-29,11,6,5,0,68
2020-02-29,14,0,0,0,0
2020-02-29,05,1,0,0,16
2020-02-29,05,0,0,0,43
2020-02-29,01,7,0,0,308
2020-02-29,16,1,0,0,252
2020-02-29,20,0,0,0,1
2020-02-29,19,1,0,0,6
2020-02-29,09,7,3,0,531
2020-02-29,10,0,0,0,31
2020-02-29,02,0,0,0,9
2020-02-29,05,24,40,2,8659
2020-03-01,13,3,3,0,52
2020-03-01,17,0,0,0,39
2020-03-01,18,0,0,0,35
2020-03-01,15,4,4,0,373
2020-03-01,08,127,68,8,1795
2020-03-01,06,0,6,0,243
2020-03-01,12,3,0,0,724
2020-03-01,07,12,-17,0,121
2020-03-01,03,406,369,24,6879
2020-03-01,11,12,14,0,101
2020-03-01,14,0,0,0,6
2020-03-01,05,1,0,0,20
2020-03-01,05,0,0,0,122
2020-03-01,01,11,38,0,362
2020-03-01,16,1,0,0,262
2020-03-01,20,0,0,0,29
2020-03-01,19,1,5,0,291
2020-03-01,09,7,2,0,572
2020-03-01,10,0,2,0,35
2020-03-01,02,0,0,0,10
2020-03-01,05,51,72,2,9056
2020-03-02,13,3,0,0,52
2020-03-02,17,0,0,0,39
2020-03-02,18,0,0,0,39
2020-03-02,15,4,0,0,373
2020-03-02,08,148,50,11,1973
2020-03-02,06,0,3,0,269
2020-03-02,12,3,1,0,773
2020-03-02,07,12,-3,0,121
2020-03-02,03,478,270,38,7925
2020-03-02,11,17,10,1,137
2020-03-02,14,0,0,0,13
2020-03-02,05,1,0,0,20
2020-03-02,05,0,0,0,122
2020-03-02,01,12,2,0,434
2020-03-02,16,2,1,0,278
2020-03-02,20,0,0,0,29
2020-03-02,19,2,-2,0,307
2020-03-02,09,7,0,0,613
2020-03-02,10,0,0,0,35
2020-03-02,02,0,0,0,11
2020-03-02,05,53,10,2,9782
2020-03-03,13,5,1,0,52
2020-03-03,17,0,1,0,42
2020-03-03,18,0,0,0,39
2020-03-03,15,11,13,0,405
2020-03-03,08,187,85,18,2012
2020-03-03,06,1,4,0,354
2020-03-03,12,10,7,0,877
2020-03-03,07,12,2,1,121
2020-03-03,03,698,266,55,9577
2020-03-03,11,27,26,2,200
2020-03-03,14,3,3,0,13
2020-03-03,05,1,0,0,20
2020-03-03,05,1,4,0,122
2020-03-03,01,13,5,0,458
2020-03-03,16,2,2,0,298
2020-03-03,20,1,1,0,29
2020-03-03,19,2,0,0,307
2020-03-03,09,10,6,0,697
2020-03-03,10,1,6,0,45
2020-03-03,02,0,0,0,12
2020-03-03,05,49,34,3,10176
2020-03-04,13,7,1,0,85
2020-03-04,17,0,0,0,48
2020-03-04,18,0,0,0,46
2020-03-04,15,11,1,0,429
2020-03-04,08,256,124,22,2500
2020-03-04,06,3,5,0,376
2020-03-04,12,15,16,0,995
2020-03-04,07,10,2,1,133
2020-03-04,03,877,300,73,12138
2020-03-04,11,34,23,4,288
2020-03-04,14,3,0,0,19
2020-03-04,05,1,0,0,20
2020-03-04,05,1,1,0,122
2020-03-04,01,26,26,0,543
2020-03-04,16,4,3,1,322
2020-03-04,20,1,1,0,42
2020-03-04,19,5,11,0,367
2020-03-04,09,15,19,0,776
2020-03-04,10,1,1,0,58
2020-03-04,02,0,0,0,15
2020-03-04,05,76,53,6,10515
2020-03-05,13,8,1,0,96
2020-03-05,17,0,0,0,54
2020-03-05,18,1,1,0,53
2020-03-05,15,12,14,0,471
2020-03-05,08,327,154,30,2884
2020-03-05,06,4,3,0,397
2020-03-05,12,20,14,0,1175
2020-03-05,07,11,2,3,146
2020-03-05,03,1169,431,98,12354
2020-03-05,11,57,40,4,413
2020-03-05,14,4,4,0,24
2020-03-05,05,1,0,0,20
2020-03-05,05,2,2,0,122
2020-03-05,01,43,26,2,543
2020-03-05,16,5,5,1,359
2020-03-05,20,2,0,0,50
2020-03-05,19,5,0,0,367
2020-03-05,09,26,23,0,776
2020-03-05,10,1,0,0,88
2020-03-05,02,0,2,0,21
2020-03-05,05,92,47,10,11949
2020-03-06,13,9,1,0,96
2020-03-06,17,1,2,0,63
2020-03-06,18,2,2,0,99
2020-03-06,15,12,12,0,471
2020-03-06,08,397,172,37,3136
2020-03-06,06,4,10,0,577
2020-03-06,12,26,10,1,1373
2020-03-06,07,12,4,3,229
2020-03-06,03,1622,361,135,13556
2020-03-06,11,73,35,4,585
2020-03-06,14,3,5,0,104
2020-03-06,05,4,3,0,36
2020-03-06,05,4,3,0,122
2020-03-06,01,57,35,4,793
2020-03-06,16,5,3,1,395
2020-03-06,20,2,3,0,99
2020-03-06,19,7,6,0,367
2020-03-06,09,35,18,0,1097
2020-03-06,10,2,7,0,110
2020-03-06,02,0,5,0,28
2020-03-06,05,117,81,12,13023
2020-03-07,13,11,2,0,123
2020-03-07,17,1,0,0,75
2020-03-07,18,2,0,0,113
2020-03-07,15,16,4,0,612
2020-03-07,08,464,140,48,3604
2020-03-07,06,7,11,0,577
2020-03-07,12,43,22,1,1582
2020-03-07,07,26,19,4,331
2020-03-07,03,1661,808,154,15778
2020-03-07,11,94,48,6,816
2020-03-07,14,3,2,0,112
2020-03-07,05,8,5,0,36
2020-03-07,05,6,4,0,194
2020-03-07,01,110,64,5,1046
2020-03-07,16,9,9,2,395
2020-03-07,20,2,0,0,99
2020-03-07,19,8,11,0,643
2020-03-07,09,54,34,0,1331
2020-03-07,10,2,8,0,134
2020-03-07,02,1,1,0,32
2020-03-07,05,123,55,13,14429
2020-03-08,13,14,6,0,163
2020-03-08,17,2,1,0,123
2020-03-08,18,5,5,0,113
2020-03-08,15,30,40,0,980
2020-03-08,08,542,170,56,4344
2020-03-08,06,7,15,1,997
2020-03-08,12,47,11,3,1929
2020-03-08,07,39,27,6,401
2020-03-08,03,2217,769,267,18534
2020-03-08,11,110,65,7,1025
2020-03-08,14,4,0,0,116
